runName,time,JLE,tp,fp,tn,fn,accuracy,ttfd,vSpeed
3716630948,4.00000,125.63467,6,3,13,0,0.00000,4.00000,30.00000
3716630948,6.00000,124.79728,6,2,13,1,0.00000,4.00000,30.00000
3716630948,8.00000,126.45573,4,4,14,0,0.00000,4.00000,30.00000
3716630948,10.00000,168.82477,3,4,14,1,0.00000,4.00000,30.00000
3716630948,12.00000,142.01381,4,2,15,1,0.00000,4.00000,30.00000
3716630948,14.00000,178.60741,4,2,15,1,0.00000,4.00000,30.00000
3716630948,16.00000,210.33320,3,3,15,1,0.00000,4.00000,30.00000
3716630948,18.00000,194.53060,2,3,15,2,0.00000,4.00000,30.00000
3716630948,20.00000,231.88995,3,4,14,1,0.00000,4.00000,30.00000
3716630948,22.00000,233.12054,3,4,14,1,0.00000,4.00000,30.00000
3716630948,24.00000,259.48042,3,4,14,1,0.00000,4.00000,30.00000
3716630948,26.00000,209.07768,4,3,13,2,0.00000,4.00000,30.00000
3716630948,28.00000,189.42131,4,3,12,3,0.00000,4.00000,30.00000
3716630948,30.00000,227.11644,4,5,10,3,0.00000,4.00000,30.00000
2053986694,4.00000,73.38282,10,0,11,1,0.00000,4.00000,30.00000
2053986694,6.00000,86.88194,6,2,11,3,0.00000,4.00000,30.00000
2053986694,8.00000,87.68680,6,1,13,2,0.00000,4.00000,30.00000
2053986694,10.00000,129.75660,6,4,10,2,0.00000,4.00000,30.00000
2053986694,12.00000,168.51593,3,4,12,3,0.00000,4.00000,30.00000
2053986694,14.00000,165.21857,3,5,13,1,0.00000,4.00000,30.00000
2053986694,16.00000,117.37338,4,2,14,2,0.00000,4.00000,30.00000
2053986694,18.00000,91.76034,6,2,10,4,0.00000,4.00000,30.00000
2053986694,20.00000,152.11331,7,5,8,2,0.00000,4.00000,30.00000
2053986694,22.00000,159.34380,4,8,9,1,0.00000,4.00000,30.00000
2053986694,24.00000,149.99229,4,8,6,4,0.00000,4.00000,30.00000
2053986694,26.00000,163.58603,4,9,7,2,0.00000,4.00000,30.00000
2053986694,28.00000,190.78395,3,9,9,1,0.00000,4.00000,30.00000
2053986694,30.00000,227.47865,0,8,9,5,0.00000,4.00000,30.00000
1646432610,4.00000,85.97724,5,1,14,2,0.00000,4.00000,30.00000
1646432610,6.00000,62.63277,6,2,12,2,0.00000,4.00000,30.00000
1646432610,8.00000,126.03315,7,3,10,2,0.00000,4.00000,30.00000
1646432610,10.00000,135.65270,4,5,12,1,0.00000,4.00000,30.00000
1646432610,12.00000,160.77380,4,4,14,0,0.00000,4.00000,30.00000
1646432610,14.00000,146.40020,4,3,15,0,0.00000,4.00000,30.00000
1646432610,16.00000,152.59315,4,3,15,0,0.00000,4.00000,30.00000
1646432610,18.00000,212.69867,3,5,13,1,0.00000,4.00000,30.00000
1646432610,20.00000,172.36066,4,4,13,1,0.00000,4.00000,30.00000
1646432610,22.00000,161.87033,3,4,13,2,0.00000,4.00000,30.00000
1646432610,24.00000,234.18222,2,6,11,3,0.00000,4.00000,30.00000
1646432610,26.00000,236.87871,3,6,12,1,0.00000,4.00000,30.00000
1646432610,28.00000,281.31820,2,7,12,1,0.00000,4.00000,30.00000
1646432610,30.00000,329.14708,2,6,13,1,0.00000,4.00000,30.00000
2283576424,4.00000,40.69441,8,0,13,1,0.00000,4.00000,30.00000
2283576424,6.00000,55.80849,7,1,11,3,0.00000,4.00000,30.00000
2283576424,8.00000,85.77884,7,1,10,4,0.00000,4.00000,30.00000
2283576424,10.00000,56.81323,8,1,12,1,0.00000,4.00000,30.00000
2283576424,12.00000,37.30065,6,3,10,3,0.00000,4.00000,30.00000
2283576424,14.00000,76.18137,7,3,9,3,0.00000,4.00000,30.00000
2283576424,16.00000,109.08279,6,4,10,2,0.00000,4.00000,30.00000
2283576424,18.00000,138.18982,4,3,13,2,0.00000,4.00000,30.00000
2283576424,20.00000,147.76420,3,3,14,2,0.00000,4.00000,30.00000
2283576424,22.00000,170.80426,3,3,14,2,0.00000,4.00000,30.00000
2283576424,24.00000,159.65738,3,3,14,2,0.00000,4.00000,30.00000
2283576424,26.00000,195.56676,3,5,13,1,0.00000,4.00000,30.00000
2283576424,28.00000,200.53238,3,6,12,1,0.00000,4.00000,30.00000
2283576424,30.00000,148.15663,6,5,10,1,0.00000,4.00000,30.00000
3554609988,4.00000,79.68141,10,2,10,0,0.00000,4.00000,30.00000
3554609988,6.00000,127.44744,5,3,12,2,0.00000,4.00000,30.00000
3554609988,8.00000,166.79443,3,4,13,2,0.00000,4.00000,30.00000
3554609988,10.00000,180.38753,3,3,14,2,0.00000,4.00000,30.00000
3554609988,12.00000,162.37846,2,2,15,3,0.00000,4.00000,30.00000
3554609988,14.00000,200.49610,1,3,15,3,0.00000,4.00000,30.00000
3554609988,16.00000,196.95737,3,3,14,2,0.00000,4.00000,30.00000
3554609988,18.00000,157.58442,3,2,15,2,0.00000,4.00000,30.00000
3554609988,20.00000,148.27933,2,1,17,2,0.00000,4.00000,30.00000
3554609988,22.00000,219.87882,2,2,16,2,0.00000,4.00000,30.00000
3554609988,24.00000,184.64222,2,2,15,3,0.00000,4.00000,30.00000
3554609988,26.00000,131.59151,3,2,14,3,0.00000,4.00000,30.00000
3554609988,28.00000,115.71320,3,2,14,3,0.00000,4.00000,30.00000
3554609988,30.00000,64.39696,4,1,14,3,0.00000,4.00000,30.00000
