runName,time,JLE,tp,fp,tn,fn,accuracy,ttfd,vSpeed,validReportsProcessed
460394995,4.00000,-1.00000,0,0,156,17,0.00000,0.00000,30.00000,8000.00000
460394995,6.00000,113.98238,4,0,163,13,0.00000,6.00000,30.00000,15600.00000
460394995,8.00000,146.56428,3,0,163,15,0.00000,6.00000,30.00000,19400.00000
460394995,10.00000,69.35349,6,0,156,20,0.00000,6.00000,30.00000,27400.00000
460394995,12.00000,91.61171,5,0,156,19,0.00000,6.00000,30.00000,31600.00000
460394995,14.00000,81.38120,5,0,144,25,0.00000,6.00000,30.00000,35600.00000
460394995,16.00000,115.62389,8,1,138,24,0.00000,6.00000,30.00000,43800.00000
460394995,18.00000,102.74850,5,0,138,25,0.00000,6.00000,30.00000,47800.00000
460394995,20.00000,125.02961,3,2,130,38,0.00000,6.00000,30.00000,55800.00000
460394995,22.00000,91.41338,4,1,132,46,0.00000,6.00000,30.00000,60000.00000
460394995,24.00000,82.95353,9,2,133,43,0.00000,6.00000,30.00000,68000.00000
460394995,26.00000,34.96558,11,1,134,41,0.00000,6.00000,30.00000,71800.00000
460394995,28.00000,91.89165,6,2,134,47,0.00000,6.00000,30.00000,76000.00000
460394995,30.00000,42.02164,8,2,133,44,0.00000,6.00000,30.00000,84200.00000
2521866615,4.00000,61.43591,2,0,134,23,0.00000,4.00000,30.00000,7800.00000
2521866615,6.00000,38.70918,7,0,136,17,0.00000,4.00000,30.00000,15400.00000
2521866615,8.00000,103.26370,4,2,136,19,0.00000,4.00000,30.00000,18800.00000
2521866615,10.00000,83.13734,8,2,143,14,0.00000,4.00000,30.00000,26400.00000
2521866615,12.00000,80.77161,7,0,155,13,0.00000,4.00000,30.00000,30600.00000
2521866615,14.00000,55.76128,4,0,156,15,0.00000,4.00000,30.00000,34600.00000
2521866615,16.00000,89.06122,5,0,158,17,0.00000,4.00000,30.00000,43000.00000
2521866615,18.00000,128.37078,3,1,161,19,0.00000,4.00000,30.00000,47200.00000
2521866615,20.00000,141.17338,5,1,162,20,0.00000,4.00000,30.00000,55000.00000
2521866615,22.00000,109.98115,5,1,171,13,0.00000,4.00000,30.00000,58600.00000
2521866615,24.00000,90.46251,4,0,175,12,0.00000,4.00000,30.00000,65600.00000
2521866615,26.00000,-1.00000,0,0,165,27,0.00000,4.00000,30.00000,69000.00000
2521866615,28.00000,76.38919,2,0,156,34,0.00000,4.00000,30.00000,72600.00000
2521866615,30.00000,54.57773,5,2,146,39,0.00000,4.00000,30.00000,80200.00000
3603170501,4.00000,174.75407,1,0,149,14,0.00000,4.00000,30.00000,8200.00000
3603170501,6.00000,82.39165,8,2,140,15,0.00000,4.00000,30.00000,16600.00000
3603170501,8.00000,110.51699,5,3,144,18,0.00000,4.00000,30.00000,20800.00000
3603170501,10.00000,107.97675,12,3,150,13,0.00000,4.00000,30.00000,29200.00000
3603170501,12.00000,125.79566,6,1,161,15,0.00000,4.00000,30.00000,33400.00000
3603170501,14.00000,115.64130,6,1,156,18,0.00000,4.00000,30.00000,37400.00000
3603170501,16.00000,145.58466,7,3,150,20,0.00000,4.00000,30.00000,45400.00000
3603170501,18.00000,85.73081,6,2,141,24,0.00000,4.00000,30.00000,49400.00000
3603170501,20.00000,55.14088,10,2,136,27,0.00000,4.00000,30.00000,57800.00000
3603170501,22.00000,41.24075,11,1,134,33,0.00000,4.00000,30.00000,61800.00000
3603170501,24.00000,43.49017,15,0,138,27,0.00000,4.00000,30.00000,69800.00000
3603170501,26.00000,42.87800,13,0,135,33,0.00000,4.00000,30.00000,73800.00000
3603170501,28.00000,30.00053,10,0,134,36,0.00000,4.00000,30.00000,77800.00000
3603170501,30.00000,51.69200,17,0,135,28,0.00000,4.00000,30.00000,85800.00000
1904310784,4.00000,-1.00000,0,0,143,17,0.00000,0.00000,30.00000,8400.00000
1904310784,6.00000,110.97163,3,0,142,19,0.00000,6.00000,30.00000,16400.00000
1904310784,8.00000,107.51951,3,1,150,15,0.00000,6.00000,30.00000,20400.00000
1904310784,10.00000,124.01426,6,2,153,16,0.00000,6.00000,30.00000,28800.00000
1904310784,12.00000,82.75528,8,0,145,24,0.00000,6.00000,30.00000,32800.00000
1904310784,14.00000,69.88792,6,0,139,34,0.00000,6.00000,30.00000,36800.00000
1904310784,16.00000,153.65629,6,0,146,26,0.00000,6.00000,30.00000,45200.00000
1904310784,18.00000,53.66831,1,0,145,34,0.00000,6.00000,30.00000,49400.00000
1904310784,20.00000,80.25370,5,0,140,37,0.00000,6.00000,30.00000,57800.00000
1904310784,22.00000,115.17075,5,0,136,39,0.00000,6.00000,30.00000,61800.00000
1904310784,24.00000,181.63826,6,1,145,27,0.00000,6.00000,30.00000,70000.00000
1904310784,26.00000,184.53601,3,0,143,32,0.00000,6.00000,30.00000,74000.00000
1904310784,28.00000,158.54755,2,0,143,36,0.00000,6.00000,30.00000,78000.00000
1904310784,30.00000,-1.00000,0,0,150,32,0.00000,6.00000,30.00000,86400.00000
3857511416,4.00000,96.02686,3,1,154,11,0.00000,4.00000,30.00000,8000.00000
3857511416,6.00000,100.31660,5,1,154,12,0.00000,4.00000,30.00000,16000.00000
3857511416,8.00000,154.21447,3,0,160,14,0.00000,4.00000,30.00000,20000.00000
3857511416,10.00000,156.53791,5,2,168,8,0.00000,4.00000,30.00000,28000.00000
3857511416,12.00000,74.49822,3,0,173,10,0.00000,4.00000,30.00000,32000.00000
3857511416,14.00000,80.99834,4,0,174,9,0.00000,4.00000,30.00000,36000.00000
3857511416,16.00000,117.87105,6,1,173,8,0.00000,4.00000,30.00000,44000.00000
3857511416,18.00000,145.68403,4,1,175,9,0.00000,4.00000,30.00000,47800.00000
3857511416,20.00000,113.36407,6,0,178,7,0.00000,4.00000,30.00000,54800.00000
3857511416,22.00000,61.51521,1,0,176,12,0.00000,4.00000,30.00000,58400.00000
3857511416,24.00000,61.95355,2,0,173,14,0.00000,4.00000,30.00000,65800.00000
3857511416,26.00000,92.87682,2,0,178,12,0.00000,4.00000,30.00000,69600.00000
3857511416,28.00000,127.63181,2,0,176,11,0.00000,4.00000,30.00000,73200.00000
3857511416,30.00000,97.33782,3,0,173,13,0.00000,4.00000,30.00000,80800.00000
