runName,time,JLE,tp,fp,tn,fn,accuracy,ttfd,vSpeed
460394995,4.00000,-1.00000,0,0,14,8,0.00000,0.00000,30.00000
460394995,6.00000,55.83289,8,5,9,0,0.00000,6.00000,30.00000
460394995,8.00000,74.11020,8,6,8,0,0.00000,6.00000,30.00000
460394995,10.00000,60.78622,7,5,9,1,0.00000,6.00000,30.00000
460394995,12.00000,74.11861,6,5,9,2,0.00000,6.00000,30.00000
460394995,14.00000,51.03959,6,4,10,2,0.00000,6.00000,30.00000
460394995,16.00000,20.99590,7,3,11,1,0.00000,6.00000,30.00000
460394995,18.00000,20.99590,7,3,11,1,0.00000,6.00000,30.00000
460394995,20.00000,46.76711,6,4,10,2,0.00000,6.00000,30.00000
460394995,22.00000,60.57448,6,4,10,2,0.00000,6.00000,30.00000
460394995,24.00000,78.67113,6,5,9,2,0.00000,6.00000,30.00000
460394995,26.00000,132.14244,5,7,7,3,0.00000,6.00000,30.00000
460394995,28.00000,132.14244,5,7,7,3,0.00000,6.00000,30.00000
460394995,30.00000,118.07647,6,6,8,2,0.00000,6.00000,30.00000
2521866615,4.00000,-1.00000,0,0,15,7,0.00000,0.00000,30.00000
2521866615,6.00000,48.95028,7,3,12,0,0.00000,6.00000,30.00000
2521866615,8.00000,48.95028,7,3,12,0,0.00000,6.00000,30.00000
2521866615,10.00000,48.95028,7,3,12,0,0.00000,6.00000,30.00000
2521866615,12.00000,48.95028,7,3,12,0,0.00000,6.00000,30.00000
2521866615,14.00000,48.95028,7,3,12,0,0.00000,6.00000,30.00000
2521866615,16.00000,48.95028,7,3,12,0,0.00000,6.00000,30.00000
2521866615,18.00000,48.95028,7,3,12,0,0.00000,6.00000,30.00000
2521866615,20.00000,86.77227,7,4,11,0,0.00000,6.00000,30.00000
2521866615,22.00000,86.77227,7,4,11,0,0.00000,6.00000,30.00000
2521866615,24.00000,43.97974,6,3,12,1,0.00000,6.00000,30.00000
2521866615,26.00000,43.97974,6,3,12,1,0.00000,6.00000,30.00000
2521866615,28.00000,43.97974,6,3,12,1,0.00000,6.00000,30.00000
2521866615,30.00000,73.63759,7,3,12,0,0.00000,6.00000,30.00000
3603170501,4.00000,-1.00000,0,0,18,4,0.00000,0.00000,30.00000
3603170501,6.00000,128.67489,3,2,16,1,0.00000,6.00000,30.00000
3603170501,8.00000,115.43367,2,2,16,2,0.00000,6.00000,30.00000
3603170501,10.00000,115.43367,2,2,16,2,0.00000,6.00000,30.00000
3603170501,12.00000,115.43367,2,2,16,2,0.00000,6.00000,30.00000
3603170501,14.00000,115.43367,2,2,16,2,0.00000,6.00000,30.00000
3603170501,16.00000,231.28502,1,3,15,3,0.00000,6.00000,30.00000
3603170501,18.00000,237.24805,1,4,14,3,0.00000,6.00000,30.00000
3603170501,20.00000,164.50741,1,2,16,3,0.00000,6.00000,30.00000
3603170501,22.00000,203.65899,1,3,15,3,0.00000,6.00000,30.00000
3603170501,24.00000,288.61902,0,3,15,4,0.00000,6.00000,30.00000
3603170501,26.00000,309.01599,0,4,14,4,0.00000,6.00000,30.00000
3603170501,28.00000,309.01599,0,4,14,4,0.00000,6.00000,30.00000
3603170501,30.00000,309.01599,0,4,14,4,0.00000,6.00000,30.00000
1904310784,4.00000,-1.00000,0,0,10,12,0.00000,0.00000,30.00000
1904310784,6.00000,62.73371,10,1,9,2,0.00000,6.00000,30.00000
1904310784,8.00000,87.16556,10,1,9,2,0.00000,6.00000,30.00000
1904310784,10.00000,78.02286,10,2,8,2,0.00000,6.00000,30.00000
1904310784,12.00000,86.60185,8,3,7,4,0.00000,6.00000,30.00000
1904310784,14.00000,86.60185,8,3,7,4,0.00000,6.00000,30.00000
1904310784,16.00000,96.27339,9,3,7,3,0.00000,6.00000,30.00000
1904310784,18.00000,101.92502,8,3,7,4,0.00000,6.00000,30.00000
1904310784,20.00000,87.25539,6,3,7,6,0.00000,6.00000,30.00000
1904310784,22.00000,103.88767,5,3,7,7,0.00000,6.00000,30.00000
1904310784,24.00000,90.05451,6,2,8,6,0.00000,6.00000,30.00000
1904310784,26.00000,118.27936,6,3,7,6,0.00000,6.00000,30.00000
1904310784,28.00000,90.05451,6,2,8,6,0.00000,6.00000,30.00000
1904310784,30.00000,121.74018,7,3,7,5,0.00000,6.00000,30.00000
3857511416,4.00000,-1.00000,0,0,14,8,0.00000,0.00000,30.00000
3857511416,6.00000,101.93517,5,3,11,3,0.00000,6.00000,30.00000
3857511416,8.00000,87.23489,6,3,11,2,0.00000,6.00000,30.00000
3857511416,10.00000,104.63105,6,3,11,2,0.00000,6.00000,30.00000
3857511416,12.00000,104.63105,6,3,11,2,0.00000,6.00000,30.00000
3857511416,14.00000,107.21309,5,3,11,3,0.00000,6.00000,30.00000
3857511416,16.00000,71.72461,5,2,12,3,0.00000,6.00000,30.00000
3857511416,18.00000,94.25139,3,2,12,5,0.00000,6.00000,30.00000
3857511416,20.00000,182.02852,3,5,9,5,0.00000,6.00000,30.00000
3857511416,22.00000,124.25661,4,4,10,4,0.00000,6.00000,30.00000
3857511416,24.00000,197.80261,3,5,9,5,0.00000,6.00000,30.00000
3857511416,26.00000,187.22234,3,5,9,5,0.00000,6.00000,30.00000
3857511416,28.00000,187.22234,3,5,9,5,0.00000,6.00000,30.00000
3857511416,30.00000,197.80261,3,5,9,5,0.00000,6.00000,30.00000
