runName,time,JLE,tp,fp,tn,fn,accuracy,ttfd,vSpeed
460394995,4.00000,25.57982,7,2,12,1,0.00000,4.00000,30.00000
460394995,6.00000,11.03084,8,2,12,0,0.00000,4.00000,30.00000
460394995,8.00000,11.03084,8,2,12,0,0.00000,4.00000,30.00000
460394995,10.00000,41.38817,7,3,11,1,0.00000,4.00000,30.00000
460394995,12.00000,43.11750,7,4,10,1,0.00000,4.00000,30.00000
460394995,14.00000,43.11750,7,4,10,1,0.00000,4.00000,30.00000
460394995,16.00000,62.10104,7,5,9,1,0.00000,4.00000,30.00000
460394995,18.00000,43.57929,7,4,10,1,0.00000,4.00000,30.00000
460394995,20.00000,43.57929,7,4,10,1,0.00000,4.00000,30.00000
460394995,22.00000,29.40400,7,3,11,1,0.00000,4.00000,30.00000
460394995,24.00000,43.57929,7,4,10,1,0.00000,4.00000,30.00000
460394995,26.00000,37.95174,8,4,10,0,0.00000,4.00000,30.00000
460394995,28.00000,43.11750,7,4,10,1,0.00000,4.00000,30.00000
460394995,30.00000,54.76191,8,5,9,0,0.00000,4.00000,30.00000
2521866615,4.00000,35.56394,7,2,13,0,0.00000,4.00000,30.00000
2521866615,6.00000,53.76380,7,3,12,0,0.00000,4.00000,30.00000
2521866615,8.00000,53.76380,7,3,12,0,0.00000,4.00000,30.00000
2521866615,10.00000,44.88023,6,3,12,1,0.00000,4.00000,30.00000
2521866615,12.00000,44.88023,6,3,12,1,0.00000,4.00000,30.00000
2521866615,14.00000,44.88023,6,3,12,1,0.00000,4.00000,30.00000
2521866615,16.00000,44.88023,6,3,12,1,0.00000,4.00000,30.00000
2521866615,18.00000,44.88023,6,3,12,1,0.00000,4.00000,30.00000
2521866615,20.00000,71.88246,6,3,12,1,0.00000,4.00000,30.00000
2521866615,22.00000,86.50466,6,4,11,1,0.00000,4.00000,30.00000
2521866615,24.00000,86.50466,6,4,11,1,0.00000,4.00000,30.00000
2521866615,26.00000,96.72341,5,4,11,2,0.00000,4.00000,30.00000
2521866615,28.00000,96.41227,4,4,11,3,0.00000,4.00000,30.00000
2521866615,30.00000,96.41227,4,4,11,3,0.00000,4.00000,30.00000
3603170501,4.00000,110.15343,3,1,17,1,0.00000,4.00000,30.00000
3603170501,6.00000,160.99136,3,3,15,1,0.00000,4.00000,30.00000
3603170501,8.00000,171.92423,3,5,13,1,0.00000,4.00000,30.00000
3603170501,10.00000,194.86224,2,6,12,2,0.00000,4.00000,30.00000
3603170501,12.00000,204.23861,2,7,11,2,0.00000,4.00000,30.00000
3603170501,14.00000,204.23861,2,7,11,2,0.00000,4.00000,30.00000
3603170501,16.00000,204.23861,2,7,11,2,0.00000,4.00000,30.00000
3603170501,18.00000,204.23861,2,7,11,2,0.00000,4.00000,30.00000
3603170501,20.00000,179.42504,2,4,14,2,0.00000,4.00000,30.00000
3603170501,22.00000,195.30991,2,5,13,2,0.00000,4.00000,30.00000
3603170501,24.00000,172.16631,2,5,13,2,0.00000,4.00000,30.00000
3603170501,26.00000,151.83055,2,4,14,2,0.00000,4.00000,30.00000
3603170501,28.00000,151.83055,2,4,14,2,0.00000,4.00000,30.00000
3603170501,30.00000,157.99921,2,4,14,2,0.00000,4.00000,30.00000
1904310784,4.00000,65.64831,10,0,10,2,0.00000,4.00000,30.00000
1904310784,6.00000,60.65220,10,1,9,2,0.00000,4.00000,30.00000
1904310784,8.00000,62.80154,8,1,9,4,0.00000,4.00000,30.00000
1904310784,10.00000,48.73638,7,1,9,5,0.00000,4.00000,30.00000
1904310784,12.00000,35.57586,8,1,9,4,0.00000,4.00000,30.00000
1904310784,14.00000,35.57586,8,1,9,4,0.00000,4.00000,30.00000
1904310784,16.00000,51.21863,8,1,9,4,0.00000,4.00000,30.00000
1904310784,18.00000,67.80115,8,2,8,4,0.00000,4.00000,30.00000
1904310784,20.00000,67.80115,8,2,8,4,0.00000,4.00000,30.00000
1904310784,22.00000,87.23823,9,3,7,3,0.00000,4.00000,30.00000
1904310784,24.00000,67.97959,10,2,8,2,0.00000,4.00000,30.00000
1904310784,26.00000,58.88080,9,2,8,3,0.00000,4.00000,30.00000
1904310784,28.00000,58.88080,9,2,8,3,0.00000,4.00000,30.00000
1904310784,30.00000,49.07902,8,1,9,4,0.00000,4.00000,30.00000
3857511416,4.00000,69.54651,7,0,14,1,0.00000,4.00000,30.00000
3857511416,6.00000,98.29451,7,2,12,1,0.00000,4.00000,30.00000
3857511416,8.00000,102.76842,6,2,12,2,0.00000,4.00000,30.00000
3857511416,10.00000,106.90315,6,3,11,2,0.00000,4.00000,30.00000
3857511416,12.00000,102.76842,6,2,12,2,0.00000,4.00000,30.00000
3857511416,14.00000,127.76653,6,3,11,2,0.00000,4.00000,30.00000
3857511416,16.00000,107.00185,7,3,11,1,0.00000,4.00000,30.00000
3857511416,18.00000,107.00185,7,3,11,1,0.00000,4.00000,30.00000
3857511416,20.00000,110.59125,7,4,10,1,0.00000,4.00000,30.00000
3857511416,22.00000,124.77377,7,5,9,1,0.00000,4.00000,30.00000
3857511416,24.00000,116.04381,6,4,10,2,0.00000,4.00000,30.00000
3857511416,26.00000,116.04381,6,4,10,2,0.00000,4.00000,30.00000
3857511416,28.00000,109.40852,6,3,11,2,0.00000,4.00000,30.00000
3857511416,30.00000,128.94625,6,4,10,2,0.00000,4.00000,30.00000
