runName,time,JLE,tp,fp,tn,fn,accuracy,ttfd,vSpeed
3613888731,4.00000,53.45267,2206,160,0,0,1.00000,4.00000,30.00000
3613888731,6.00000,48.76205,2435,33,0,0,1.00000,4.00000,30.00000
3613888731,8.00000,52.39528,2353,70,0,0,1.00000,4.00000,30.00000
3613888731,10.00000,68.89572,2272,544,0,0,1.00000,4.00000,30.00000
3613888731,12.00000,67.48694,2554,407,0,0,1.00000,4.00000,30.00000
3613888731,14.00000,63.98485,2585,377,0,0,1.00000,4.00000,30.00000
3613888731,16.00000,58.91444,2597,125,0,0,1.00000,4.00000,30.00000
3613888731,18.00000,60.83040,2543,126,0,0,1.00000,4.00000,30.00000
3613888731,20.00000,65.53864,2489,101,0,0,1.00000,4.00000,30.00000
3613888731,22.00000,66.47078,2340,252,0,0,1.00000,4.00000,30.00000
3613888731,24.00000,78.94225,2331,162,0,0,1.00000,4.00000,30.00000
3613888731,26.00000,77.29698,2198,11,0,0,1.00000,4.00000,30.00000
3613888731,28.00000,68.67084,2247,11,0,0,1.00000,4.00000,30.00000
3613888731,30.00000,31.44389,2658,0,0,0,1.00000,4.00000,30.00000
1880021478,4.00000,28.69646,1995,0,0,0,1.00000,4.00000,30.00000
1880021478,6.00000,37.85989,2274,0,0,0,1.00000,4.00000,30.00000
1880021478,8.00000,42.20821,2257,0,0,0,1.00000,4.00000,30.00000
1880021478,10.00000,75.41251,1764,257,0,0,1.00000,4.00000,30.00000
1880021478,12.00000,81.03116,1744,245,0,0,1.00000,4.00000,30.00000
1880021478,14.00000,68.70459,1830,230,0,0,1.00000,4.00000,30.00000
1880021478,16.00000,30.35160,1938,214,0,0,1.00000,4.00000,30.00000
1880021478,18.00000,28.54499,1902,251,0,0,1.00000,4.00000,30.00000
1880021478,20.00000,65.92225,1739,382,0,0,1.00000,4.00000,30.00000
1880021478,22.00000,69.00658,1834,314,0,0,1.00000,4.00000,30.00000
1880021478,24.00000,40.93168,2178,272,0,0,1.00000,4.00000,30.00000
1880021478,26.00000,36.80052,2018,434,0,0,1.00000,4.00000,30.00000
1880021478,28.00000,39.63025,1987,439,0,0,1.00000,4.00000,30.00000
1880021478,30.00000,38.85888,1917,398,0,0,1.00000,4.00000,30.00000
3485506964,4.00000,164.34949,400,668,0,0,1.00000,4.00000,30.00000
3485506964,6.00000,115.85743,885,621,0,0,1.00000,4.00000,30.00000
3485506964,8.00000,123.83326,1318,431,0,0,1.00000,4.00000,30.00000
3485506964,10.00000,65.32338,1247,236,0,0,1.00000,4.00000,30.00000
3485506964,12.00000,45.23890,1203,169,0,0,1.00000,4.00000,30.00000
3485506964,14.00000,57.12695,1154,225,0,0,1.00000,4.00000,30.00000
3485506964,16.00000,53.63244,1074,204,0,0,1.00000,4.00000,30.00000
3485506964,18.00000,55.05531,1066,177,0,0,1.00000,4.00000,30.00000
3485506964,20.00000,74.08331,839,148,0,0,1.00000,4.00000,30.00000
3485506964,22.00000,66.30948,839,108,0,0,1.00000,4.00000,30.00000
3485506964,24.00000,69.94828,886,81,0,0,1.00000,4.00000,30.00000
3485506964,26.00000,59.47224,1048,85,0,0,1.00000,4.00000,30.00000
3485506964,28.00000,67.69567,1048,84,0,0,1.00000,4.00000,30.00000
3485506964,30.00000,74.24510,917,87,0,0,1.00000,4.00000,30.00000
2062686588,4.00000,87.90024,2756,112,0,0,1.00000,4.00000,30.00000
2062686588,6.00000,103.57331,2613,151,0,0,1.00000,4.00000,30.00000
2062686588,8.00000,107.21962,2470,302,0,0,1.00000,4.00000,30.00000
2062686588,10.00000,111.23856,2089,977,0,0,1.00000,4.00000,30.00000
2062686588,12.00000,111.82973,2000,1001,0,0,1.00000,4.00000,30.00000
2062686588,14.00000,106.21513,2051,955,0,0,1.00000,4.00000,30.00000
2062686588,16.00000,100.09946,1977,832,0,0,1.00000,4.00000,30.00000
2062686588,18.00000,80.83900,1971,814,0,0,1.00000,4.00000,30.00000
2062686588,20.00000,44.82177,2108,427,0,0,1.00000,4.00000,30.00000
2062686588,22.00000,49.55599,2072,360,0,0,1.00000,4.00000,30.00000
2062686588,24.00000,69.05685,2135,373,0,0,1.00000,4.00000,30.00000
2062686588,26.00000,80.45029,2437,423,0,0,1.00000,4.00000,30.00000
2062686588,28.00000,78.90304,2420,414,0,0,1.00000,4.00000,30.00000
2062686588,30.00000,75.92005,1973,665,0,0,1.00000,4.00000,30.00000
3949755970,4.00000,99.86026,1961,311,0,0,1.00000,4.00000,30.00000
3949755970,6.00000,75.06859,2066,215,0,0,1.00000,4.00000,30.00000
3949755970,8.00000,80.27083,1888,308,0,0,1.00000,4.00000,30.00000
3949755970,10.00000,93.34284,1737,278,0,0,1.00000,4.00000,30.00000
3949755970,12.00000,90.21780,1777,234,0,0,1.00000,4.00000,30.00000
3949755970,14.00000,83.23294,1859,207,0,0,1.00000,4.00000,30.00000
3949755970,16.00000,87.10970,1737,244,0,0,1.00000,4.00000,30.00000
3949755970,18.00000,86.60711,1737,247,0,0,1.00000,4.00000,30.00000
3949755970,20.00000,75.73426,1941,87,0,0,1.00000,4.00000,30.00000
3949755970,22.00000,69.14237,2048,58,0,0,1.00000,4.00000,30.00000
3949755970,24.00000,73.11764,2240,27,0,0,1.00000,4.00000,30.00000
3949755970,26.00000,81.72152,2136,133,0,0,1.00000,4.00000,30.00000
3949755970,28.00000,83.34311,2026,200,0,0,1.00000,4.00000,30.00000
3949755970,30.00000,73.93309,2133,230,0,0,1.00000,4.00000,30.00000
